"","Year","Month","Day","Extent","Missing"
"408","1981",1,"  15",14.748,"      0.000"
"409","1981",1,"  17",14.998,"      0.000"
"410","1981",1,"  19",15.066,"      0.000"
"411","1981",1,"  21",15.055,"      0.000"
"412","1981",1,"  23",15.17,"      0.000"
"413","1981",1,"  25",15.244,"      0.000"
"414","1981",1,"  27",15.35,"      0.000"
"415","1981",1,"  29",15.503,"      0.000"
"416","1981",1,"  31",15.627,"      0.000"
"417","1981",2,"  02",15.646,"      0.000"
"418","1981",2,"  04",15.663,"      0.000"
"419","1981",2,"  06",15.629,"      0.000"
"420","1981",2,"  08",15.541,"      0.000"
"421","1981",2,"  10",15.44,"      0.000"
"422","1981",2,"  12",15.474,"      0.000"
"423","1981",2,"  14",15.482,"      0.000"
"424","1981",2,"  16",15.575,"      0.000"
"425","1981",2,"  18",15.592,"      0.000"
"426","1981",2,"  20",15.731,"      0.000"
"427","1981",2,"  22",15.654,"      0.000"
"428","1981",2,"  24",15.706,"      0.000"
"429","1981",2,"  26",15.667,"      0.000"
"430","1981",2,"  28",15.657,"      0.000"
"431","1981",3,"  02",15.628,"      0.000"
"432","1981",3,"  04",15.726,"      0.000"
"433","1981",3,"  06",15.646,"      0.000"
"434","1981",3,"  08",15.644,"      0.000"
"435","1981",3,"  10",15.733,"      0.000"
"436","1981",3,"  12",15.657,"      0.000"
"437","1981",3,"  14",15.801,"      0.000"
"438","1981",3,"  16",15.771,"      0.000"
"439","1981",3,"  18",15.528,"      0.000"
"440","1981",3,"  20",15.621,"      0.000"
"441","1981",3,"  22",15.535,"      0.000"
"442","1981",3,"  24",15.559,"      0.000"
"443","1981",3,"  26",15.626,"      0.000"
"444","1981",3,"  28",15.517,"      0.000"
"445","1981",3,"  30",15.481,"      0.000"
"446","1981",4,"  01",15.44,"      0.000"
"447","1981",4,"  03",15.221,"      0.000"
"448","1981",4,"  05",15.224,"      0.000"
"449","1981",4,"  07",15.242,"      0.000"
"450","1981",4,"  09",15.202,"      0.000"
"451","1981",4,"  11",15.135,"      0.000"
"452","1981",4,"  13",15.11,"      0.000"
"453","1981",4,"  15",15.086,"      0.000"
"454","1981",4,"  17",14.983,"      0.000"
"455","1981",4,"  19",14.95,"      0.000"
"456","1981",4,"  21",14.92,"      0.000"
"457","1981",4,"  23",14.844,"      0.000"
"458","1981",4,"  25",14.714,"      0.000"
"459","1981",4,"  27",14.564,"      0.000"
"460","1981",4,"  29",14.514,"      0.000"
"461","1981",5,"  01",14.272,"      0.000"
"462","1981",5,"  03",14.285,"      0.000"
"463","1981",5,"  05",14.249,"      0.000"
"464","1981",5,"  07",14.077,"      0.000"
"465","1981",5,"  09",14.083,"      0.000"
"466","1981",5,"  11",14.072,"      0.000"
"467","1981",5,"  13",14.025,"      0.000"
"468","1981",5,"  15",13.928,"      0.000"
"469","1981",5,"  17",13.843,"      0.000"
"470","1981",5,"  19",13.752,"      0.000"
"471","1981",5,"  21",13.568,"      0.000"
"472","1981",5,"  23",13.464,"      0.000"
"473","1981",5,"  25",13.378,"      0.000"
"474","1981",5,"  27",13.333,"      0.000"
"475","1981",5,"  29",13.275,"      0.000"
"476","1981",5,"  31",13.222,"      0.000"
"477","1981",6,"  02",13.059,"      0.000"
"478","1981",6,"  04",13.002,"      0.000"
"479","1981",6,"  06",12.954,"      0.000"
"480","1981",6,"  08",12.863,"      0.000"
"481","1981",6,"  10",12.721,"      0.000"
"482","1981",6,"  12",12.652,"      0.000"
"483","1981",6,"  14",12.487,"      0.000"
"484","1981",6,"  16",12.465,"      0.000"
"485","1981",6,"  18",12.364,"      0.000"
